048 l 4 b 15;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1074,45,18,102;Ungler1-07_PT03_118 l 4 b 15; ※
048 l 4 b 16;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1126,45,24,102;Ungler1-07_PT03_118 l 4 b 16; ※
048 l 4 b 17;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1186,45,18,102;Ungler1-07_PT03_118 l 4 b 17; ※
048 l 4 b 18;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1237,45,53,102;Ungler1-07_PT03_118 l 4 b 18; ※
048 l 4 b 19;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1331,45,17,102;Ungler1-07_PT03_118 l 4 b 19; ※
048 l 4 b 20;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1384,45,31,102;Ungler1-07_PT03_118 l 4 b 20; ※
048 l 4 b 21;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1448,45,30,102;Ungler1-07_PT03_118 l 4 b 21; ※
048 l 4 b 22;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1510,45,41,102;Ungler1-07_PT03_118 l 4 b 22; ※
048 l 4 b 23;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1585,45,28,102;Ungler1-07_PT03_118 l 4 b 23; ※
048 l 4 b 24;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1644,45,44,102;Ungler1-07_PT03_118 l 4 b 24; ※
048 l 4 b 25;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1690,45,4,102;Ungler1-07_PT03_118 l 4 b 25; ※
048 l 4 b 26;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1719,45,47,102;Ungler1-07_PT03_118 l 4 b 26; ※
048 l 4 b 27;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1797,45,38,102;Ungler1-07_PT03_118 l 4 b 27; ※
048 l 4 b 28;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1865,45,39,102;Ungler1-07_PT03_118 l 4 b 28; ※
048 l 4 b 29;file:Ungler1-07_PT03_118.djvu?djvuopts=&page=1&highlight=1933,45,45,102;Ungler1-07_PT03_118 l 4 b 29; ※
