084 l 4 b 2;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=475,21,30,82;Wirzbięta-10+8_PT11_563 l 4 b 2; ※
084 l 4 b 3;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=522,21,34,82;Wirzbięta-10+8_PT11_563 l 4 b 3; ※
084 l 4 b 4;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=574,21,26,82;Wirzbięta-10+8_PT11_563 l 4 b 4; ※
084 l 4 b 5;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=617,21,38,82;Wirzbięta-10+8_PT11_563 l 4 b 5; ※
084 l 4 b 6;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=671,21,25,82;Wirzbięta-10+8_PT11_563 l 4 b 6; ※
084 l 4 b 7;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=711,21,50,82;Wirzbięta-10+8_PT11_563 l 4 b 7; ※
084 l 4 b 8;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=777,21,45,82;Wirzbięta-10+8_PT11_563 l 4 b 8; ※
084 l 4 b 9;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=918,21,53,82;Wirzbięta-10+8_PT11_563 l 4 b 9; ※
084 l 4 b 10;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=993,21,27,82;Wirzbięta-10+8_PT11_563 l 4 b 10; ※
084 l 4 b 11;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1107,21,27,82;Wirzbięta-10+8_PT11_563 l 4 b 11; ※
084 l 4 b 12;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1152,21,25,82;Wirzbięta-10+8_PT11_563 l 4 b 12; ※
084 l 4 b 13;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1194,21,21,82;Wirzbięta-10+8_PT11_563 l 4 b 13; ※
084 l 4 b 14;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1236,21,17,82;Wirzbięta-10+8_PT11_563 l 4 b 14; ※
084 l 4 b 15;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1274,21,20,82;Wirzbięta-10+8_PT11_563 l 4 b 15; ※
084 l 4 b 16;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1314,21,17,82;Wirzbięta-10+8_PT11_563 l 4 b 16; ※
084 l 4 b 17;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1353,21,17,82;Wirzbięta-10+8_PT11_563 l 4 b 17; ※
084 l 4 b 18;file:Wirzbięta-10+8_PT11_563.djvu?djvuopts=&page=1&highlight=1467,21,64,82;Wirzbięta-10+8_PT11_563 l 4 b 18; ※
